regime	method	slope_hud_vs_wc	pearson	spearman	mean_hud_minus_wc
raw	bwa_cohort	1.364381801126972	0.8486320192859246	0.8020151077290427	0.009238943306919696
raw	bwa_hwe	1.1213838805805447	0.9942871493512783	0.962579121112087	0.012467414489358253
raw	bwa_nohwe	2.1394696620998346	0.5507863217709881	0.648824839287109	0.036362484387314487
raw	ngm_cohort	0.5408432331612915	0.24552993906010995	0.7149035403858385	0.01567827818636262
raw	ngm_hwe	1.04579754588334	0.9817269274383237	0.982092606967918	0.01521951945672884
raw	ngm_nohwe	0.8096603495784457	0.11700374080114645	0.5265596681974175	0.04548784383697754
norm	bwa_cohort	1.357962405966349	0.8561190861336611	0.8095023439455115	0.00886436508798652
norm	bwa_hwe	1.1190435201681488	0.9944095375798643	0.963944841964993	0.01197260370086268
norm	bwa_nohwe	2.1600497424453344	0.5503846501051765	0.6559288830513852	0.035291153389703615
norm	ngm_cohort	0.5137865594992124	0.23044764439387685	0.729368577262533	0.015218701610351899
norm	ngm_hwe	1.0440644211497334	0.9816163065952896	0.980070804528812	0.014806065867370767
norm	ngm_nohwe	0.7851309022543884	0.1093442924140907	0.539088339887242	0.0445350888119134
