	bwa_cohort	bwa_hwe	bwa_nohwe	ngm_cohort	ngm_hwe	ngm_nohwe
bwa_cohort	1.0	0.978506870527747	0.9241228777442466	0.7616049257588811	0.7608285872687869	0.7550110433524881
bwa_hwe	0.978506870527747	1.0	0.9341863229601391	0.7555513387303111	0.7600484897413734	0.7548261656241793
bwa_nohwe	0.9241228777442466	0.9341863229601391	1.0	0.7245512761935909	0.7294723409004049	0.7492352445622315
ngm_cohort	0.7616049257588811	0.7555513387303111	0.7245512761935909	1.0	0.9726495091851434	0.9063774914526489
ngm_hwe	0.7608285872687869	0.7600484897413734	0.7294723409004049	0.9726495091851434	1.0	0.9176700958004215
ngm_nohwe	0.7550110433524881	0.7548261656241793	0.7492352445622315	0.9063774914526489	0.9176700958004215	1.0
