	bwa_cohort	bwa_hwe	bwa_nohwe	ngm_cohort	ngm_hwe	ngm_nohwe
bwa_cohort	1.0	0.9820711375101999	0.9355757024975404	0.7837896397058868	0.7837343491290042	0.7799113470112119
bwa_hwe	0.9820711375101999	1.0	0.9439442629573143	0.77869814954447	0.7827616271589705	0.7794400522845192
bwa_nohwe	0.9355757024975404	0.9439442629573143	1.0	0.7502900058805153	0.7548112798562787	0.7735420246166479
ngm_cohort	0.7837896397058868	0.77869814954447	0.7502900058805153	1.0	0.9767380729647307	0.9194755266033587
ngm_hwe	0.7837343491290042	0.7827616271589705	0.7548112798562787	0.9767380729647307	1.0	0.9291446908265384
ngm_nohwe	0.7799113470112119	0.7794400522845192	0.7735420246166479	0.9194755266033587	0.9291446908265384	1.0
