category	stop/start gained-lost	splice_donor / acceptor	missense	splice_region	synonymous	non-coding RNA	intronic	intergenic / no annotated feature
shared by all 6	1.635795569175068e-05	4.128436436489458e-05	0.0022597347362747016	0.00434420566156636	0.009499298555280932	3.1158010841429875e-05	0.5964359909299031	0.3873719697860769
BWA-only (all 3)	3.006283131745348e-05	8.517802206611818e-05	0.0009419687146135423	0.001934042148089507	0.0011273561744045053	0.00016033510035975187	0.5915613632491908	0.4041596937599583
NGM-only (all 3)	1.169864295741694e-05	7.019185774450164e-05	0.0004445484323818437	0.0021057557323350493	0.001532522227421619	2.339728591483388e-05	0.5898338792700046	0.40597800655124006
singleton (1 method)	3.339121143315079e-05	0.00016695605716575396	0.0006900850362851164	0.0019923422821779974	0.001302257245892881	6.678242286630158e-05	0.5838119406972085	0.4119362450469703
other partial	1.5810776625347835e-05	5.533771818871743e-05	0.001249051353402479	0.002695737414621806	0.002490197318492284	0.00011067543637743486	0.5966749936756893	0.3967081963066026
