method	bwa_cohort	bwa_hwe	bwa_nohwe	ngm_cohort	ngm_hwe	ngm_nohwe
bwa_cohort	1.0	0.9992674074416484	0.9954016905736889	0.9794829452261138	0.9835399395244524	0.9800542271515125
bwa_hwe	0.9992674074416484	1.0	0.9969810045571847	0.9776938636606356	0.9833320847167739	0.9799235209074201
bwa_nohwe	0.9954016905736889	0.9969810045571847	1.0	0.9717814782876207	0.9794561663858607	0.9798380836551842
ngm_cohort	0.9794829452261138	0.9776938636606356	0.9717814782876207	1.0	0.9974936280706005	0.9948004418508641
ngm_hwe	0.9835399395244524	0.9833320847167739	0.9794561663858607	0.9974936280706005	1.0	0.9965468047902244
ngm_nohwe	0.9800542271515125	0.9799235209074201	0.9798380836551842	0.9948004418508641	0.9965468047902244	1.0
