method	genome_mean_depth
bwa_cohort	8.941575941727308
bwa_hwe	8.941575941727308
bwa_nohwe	8.941575941727308
ngm_cohort	8.162969326375757
ngm_hwe	8.162969326375757
ngm_nohwe	8.162969326375757
