category	stop/start gained-lost	splice_donor / acceptor	missense	splice_region	synonymous	non-coding RNA	intronic	intergenic / no annotated feature
shared by all 6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BWA-only (all 3)	0.8779884275351645	1.0448857362799087	-1.2624023789275918	-1.167473168779789	-3.074877596873741	2.363415254705406	-0.011839488741192348	0.06120588669306149
NGM-only (all 3)	-0.48365127424708787	0.7657081946896294	-2.3457409182227393	-1.0447543107792907	-2.631912987614424	-0.41326194635569036	-0.01605862600625942	0.06768200859363908
singleton (1 method)	1.029475974189874	2.0158010372927975	-1.7113073735636442	-1.1246268821289034	-2.8668065218526637	1.0998653020812719	-0.030863598698752073	0.08870150585757447
other partial	-0.04908422651952839	0.42266766375363696	-0.8553206357616626	-0.6884124303572334	-1.9315609230370354	1.8286600234294734	0.0005779983340457603	0.034358640631180194
